Date	Heure	h2Lauzon
16-Aug-2009	00:00:00	2.022
16-Aug-2009	01:00:00	2.562
16-Aug-2009	02:00:00	2.482
16-Aug-2009	03:00:00	1.762
16-Aug-2009	04:00:00	1.112
16-Aug-2009	05:00:00	0.482
16-Aug-2009	06:00:00	-0.128
16-Aug-2009	07:00:00	-0.698
16-Aug-2009	08:00:00	-1.188
16-Aug-2009	09:00:00	-1.548
16-Aug-2009	10:00:00	-1.388
16-Aug-2009	11:00:00	-0.218
16-Aug-2009	12:00:00	0.722
16-Aug-2009	13:00:00	1.272
16-Aug-2009	14:00:00	1.592
16-Aug-2009	15:00:00	1.522
16-Aug-2009	16:00:00	0.982
16-Aug-2009	17:00:00	0.492
16-Aug-2009	18:00:00	-0.058
16-Aug-2009	19:00:00	-0.608
16-Aug-2009	20:00:00	-1.068
16-Aug-2009	21:00:00	-1.388
16-Aug-2009	22:00:00	-1.028
16-Aug-2009	23:00:00	0.242
17-Aug-2009	00:00:00	1.262
17-Aug-2009	01:00:00	2.062
17-Aug-2009	02:00:00	2.722
17-Aug-2009	03:00:00	2.882
17-Aug-2009	04:00:00	2.252
17-Aug-2009	05:00:00	1.472
17-Aug-2009	06:00:00	0.832
17-Aug-2009	07:00:00	0.152
17-Aug-2009	08:00:00	-0.438
17-Aug-2009	09:00:00	-0.988
17-Aug-2009	10:00:00	-1.448
17-Aug-2009	11:00:00	-1.628
17-Aug-2009	12:00:00	-0.508
17-Aug-2009	13:00:00	0.582
17-Aug-2009	14:00:00	1.262
17-Aug-2009	15:00:00	1.662
17-Aug-2009	16:00:00	1.662
17-Aug-2009	17:00:00	1.072
17-Aug-2009	18:00:00	0.492
17-Aug-2009	19:00:00	-0.078
17-Aug-2009	20:00:00	-0.648
17-Aug-2009	21:00:00	-1.168
17-Aug-2009	22:00:00	-1.598
17-Aug-2009	23:00:00	-1.598
18-Aug-2009	00:00:00	-0.168
18-Aug-2009	01:00:00	1.032
18-Aug-2009	02:00:00	1.942
18-Aug-2009	03:00:00	2.782
18-Aug-2009	04:00:00	3.112
18-Aug-2009	05:00:00	2.502
18-Aug-2009	06:00:00	1.562
18-Aug-2009	07:00:00	0.922
18-Aug-2009	08:00:00	0.242
18-Aug-2009	09:00:00	-0.398
18-Aug-2009	10:00:00	-0.968
18-Aug-2009	11:00:00	-1.458
18-Aug-2009	12:00:00	-1.728
18-Aug-2009	13:00:00	-0.518
18-Aug-2009	14:00:00	0.732
18-Aug-2009	15:00:00	1.502
18-Aug-2009	16:00:00	2.022
18-Aug-2009	17:00:00	2.052
18-Aug-2009	18:00:00	1.362
18-Aug-2009	19:00:00	0.692
18-Aug-2009	20:00:00	0.082
18-Aug-2009	21:00:00	-0.538
18-Aug-2009	22:00:00	-1.108
18-Aug-2009	23:00:00	-1.598
19-Aug-2009	00:00:00	-1.818
19-Aug-2009	01:00:00	-0.328
19-Aug-2009	02:00:00	1.022
19-Aug-2009	03:00:00	2.072
19-Aug-2009	04:00:00	2.972
19-Aug-2009	05:00:00	3.352
19-Aug-2009	06:00:00	2.682
19-Aug-2009	07:00:00	1.622
19-Aug-2009	08:00:00	NA
19-Aug-2009	09:00:00	0.222
19-Aug-2009	10:00:00	-0.428
19-Aug-2009	11:00:00	-1.018
19-Aug-2009	12:00:00	-1.538
19-Aug-2009	13:00:00	-1.818
19-Aug-2009	14:00:00	-0.338
19-Aug-2009	15:00:00	1.002
19-Aug-2009	16:00:00	1.902
19-Aug-2009	17:00:00	2.522
19-Aug-2009	18:00:00	2.502
19-Aug-2009	19:00:00	1.572
19-Aug-2009	20:00:00	0.812
19-Aug-2009	21:00:00	0.182
19-Aug-2009	22:00:00	-0.448
19-Aug-2009	23:00:00	-1.038
20-Aug-2009	00:00:00	-1.548
20-Aug-2009	01:00:00	-1.808
20-Aug-2009	02:00:00	-0.158
20-Aug-2009	03:00:00	1.262
20-Aug-2009	04:00:00	2.392
20-Aug-2009	05:00:00	3.312
20-Aug-2009	06:00:00	3.602
20-Aug-2009	07:00:00	2.662
20-Aug-2009	08:00:00	1.572
20-Aug-2009	09:00:00	0.882
20-Aug-2009	10:00:00	0.162
20-Aug-2009	11:00:00	-0.498
20-Aug-2009	12:00:00	-1.078
20-Aug-2009	13:00:00	-1.598
20-Aug-2009	14:00:00	-1.818
20-Aug-2009	15:00:00	-0.028
20-Aug-2009	16:00:00	1.322
20-Aug-2009	17:00:00	2.272
20-Aug-2009	18:00:00	2.922
20-Aug-2009	19:00:00	2.732
20-Aug-2009	20:00:00	1.612
20-Aug-2009	21:00:00	0.862
20-Aug-2009	22:00:00	0.202
20-Aug-2009	23:00:00	-0.438
21-Aug-2009	00:00:00	-1.038
21-Aug-2009	01:00:00	-1.548
21-Aug-2009	02:00:00	-1.768
21-Aug-2009	03:00:00	0.122
21-Aug-2009	04:00:00	1.552
21-Aug-2009	05:00:00	2.712
21-Aug-2009	06:00:00	3.602
21-Aug-2009	07:00:00	3.712
21-Aug-2009	08:00:00	2.562
21-Aug-2009	09:00:00	1.552
21-Aug-2009	10:00:00	0.872
21-Aug-2009	11:00:00	0.132
21-Aug-2009	12:00:00	-0.538
21-Aug-2009	13:00:00	-1.108
21-Aug-2009	14:00:00	-1.588
21-Aug-2009	15:00:00	-1.278
21-Aug-2009	16:00:00	0.652
21-Aug-2009	17:00:00	1.942
21-Aug-2009	18:00:00	2.892
21-Aug-2009	19:00:00	3.392
21-Aug-2009	20:00:00	2.832
21-Aug-2009	21:00:00	1.632
21-Aug-2009	22:00:00	0.982
21-Aug-2009	23:00:00	0.262
22-Aug-2009	00:00:00	-0.398
22-Aug-2009	01:00:00	-0.998
22-Aug-2009	02:00:00	-1.508
22-Aug-2009	03:00:00	-1.568
22-Aug-2009	04:00:00	0.482
22-Aug-2009	05:00:00	1.902
22-Aug-2009	06:00:00	3.012
22-Aug-2009	07:00:00	3.732
22-Aug-2009	08:00:00	3.522
22-Aug-2009	09:00:00	2.202
22-Aug-2009	10:00:00	1.362
22-Aug-2009	11:00:00	0.652
22-Aug-2009	12:00:00	-0.058
22-Aug-2009	13:00:00	-0.688
22-Aug-2009	14:00:00	-1.248
22-Aug-2009	15:00:00	-1.708
22-Aug-2009	16:00:00	-0.628
22-Aug-2009	17:00:00	1.092
22-Aug-2009	18:00:00	2.312
22-Aug-2009	19:00:00	3.212
22-Aug-2009	20:00:00	3.422
22-Aug-2009	21:00:00	2.472
22-Aug-2009	22:00:00	1.432
22-Aug-2009	23:00:00	0.772
23-Aug-2009	00:00:00	0.072
23-Aug-2009	01:00:00	-0.568
23-Aug-2009	02:00:00	-1.138
23-Aug-2009	03:00:00	-1.608
23-Aug-2009	04:00:00	-1.138
23-Aug-2009	05:00:00	0.722
23-Aug-2009	06:00:00	2.042
23-Aug-2009	07:00:00	3.062
23-Aug-2009	08:00:00	3.632
23-Aug-2009	09:00:00	3.162
23-Aug-2009	10:00:00	1.922
23-Aug-2009	11:00:00	1.232
23-Aug-2009	12:00:00	0.512
23-Aug-2009	13:00:00	-0.168
23-Aug-2009	14:00:00	-0.778
23-Aug-2009	15:00:00	-1.308
23-Aug-2009	16:00:00	-1.528
23-Aug-2009	17:00:00	0.302
23-Aug-2009	18:00:00	1.712
23-Aug-2009	19:00:00	2.742
23-Aug-2009	20:00:00	3.482
23-Aug-2009	21:00:00	3.372
23-Aug-2009	22:00:00	2.192
23-Aug-2009	23:00:00	1.342
24-Aug-2009	00:00:00	0.652
24-Aug-2009	01:00:00	-0.038
24-Aug-2009	02:00:00	-0.658
24-Aug-2009	03:00:00	-1.218
24-Aug-2009	04:00:00	-1.588
24-Aug-2009	05:00:00	-0.418
24-Aug-2009	06:00:00	1.062
24-Aug-2009	07:00:00	2.082
24-Aug-2009	08:00:00	2.782
24-Aug-2009	09:00:00	2.902
24-Aug-2009	10:00:00	1.992
24-Aug-2009	11:00:00	1.112
24-Aug-2009	12:00:00	0.502
24-Aug-2009	13:00:00	-0.158
24-Aug-2009	14:00:00	-0.778
24-Aug-2009	15:00:00	-1.348
24-Aug-2009	16:00:00	-1.798
24-Aug-2009	17:00:00	-0.898
24-Aug-2009	18:00:00	0.762
24-Aug-2009	19:00:00	2.002
24-Aug-2009	20:00:00	2.992
24-Aug-2009	21:00:00	3.592
24-Aug-2009	22:00:00	3.182
24-Aug-2009	23:00:00	1.982
25-Aug-2009	00:00:00	1.252
25-Aug-2009	01:00:00	0.552
25-Aug-2009	02:00:00	-0.148
25-Aug-2009	03:00:00	-0.748
25-Aug-2009	04:00:00	-1.258
25-Aug-2009	05:00:00	-1.538
25-Aug-2009	06:00:00	-0.118
25-Aug-2009	07:00:00	1.182
25-Aug-2009	08:00:00	2.072
25-Aug-2009	09:00:00	2.682
25-Aug-2009	10:00:00	2.702
25-Aug-2009	11:00:00	1.732
