Date	Heure	h1Neuville
16-Aug-2009	00:00:00	1.261
16-Aug-2009	01:00:00	2.121
16-Aug-2009	02:00:00	2.681
16-Aug-2009	03:00:00	2.751
16-Aug-2009	04:00:00	2.251
16-Aug-2009	05:00:00	1.691
16-Aug-2009	06:00:00	1.141
16-Aug-2009	07:00:00	0.621
16-Aug-2009	08:00:00	0.121
16-Aug-2009	09:00:00	-0.329
16-Aug-2009	10:00:00	-0.729
16-Aug-2009	11:00:00	-0.849
16-Aug-2009	12:00:00	-0.109
16-Aug-2009	13:00:00	0.661
16-Aug-2009	14:00:00	1.381
16-Aug-2009	15:00:00	1.921
16-Aug-2009	16:00:00	1.921
16-Aug-2009	17:00:00	1.531
16-Aug-2009	18:00:00	1.041
16-Aug-2009	19:00:00	0.531
16-Aug-2009	20:00:00	0.061
16-Aug-2009	21:00:00	-0.359
16-Aug-2009	22:00:00	-0.709
16-Aug-2009	23:00:00	-0.659
17-Aug-2009	00:00:00	0.281
17-Aug-2009	01:00:00	1.101
17-Aug-2009	02:00:00	2.051
17-Aug-2009	03:00:00	2.751
17-Aug-2009	04:00:00	3.021
17-Aug-2009	05:00:00	2.611
17-Aug-2009	06:00:00	2.041
17-Aug-2009	07:00:00	1.451
17-Aug-2009	08:00:00	0.911
17-Aug-2009	09:00:00	0.391
17-Aug-2009	10:00:00	-0.089
17-Aug-2009	11:00:00	-0.539
17-Aug-2009	12:00:00	-0.869
17-Aug-2009	13:00:00	-0.299
17-Aug-2009	14:00:00	0.531
17-Aug-2009	15:00:00	1.261
17-Aug-2009	16:00:00	1.911
17-Aug-2009	17:00:00	2.041
17-Aug-2009	18:00:00	1.641
17-Aug-2009	19:00:00	1.121
17-Aug-2009	20:00:00	0.591
17-Aug-2009	21:00:00	0.071
17-Aug-2009	22:00:00	-0.389
17-Aug-2009	23:00:00	-0.809
18-Aug-2009	00:00:00	-1.019
18-Aug-2009	01:00:00	-0.069
18-Aug-2009	02:00:00	0.821
18-Aug-2009	03:00:00	1.831
