years	months	days	hours	minutes	seconds	Q
2009	6	15	0	0	0	NaN
2009	6	15	0	1	0	NaN
2009	6	15	0	2	0	NaN
2009	6	15	0	3	0	NaN
2009	6	15	0	4	0	NaN
2009	6	15	0	5	0	NaN
2009	6	15	0	6	0	NaN
2009	6	15	0	7	0	NaN
2009	6	15	0	8	0	NaN
2009	6	15	0	9	0	NaN
2009	6	15	0	10	0	NaN
2009	6	15	0	11	0	NaN
2009	6	15	0	12	0	NaN
2009	6	15	0	13	0	NaN
2009	6	15	0	14	0	NaN
2009	6	15	0	15	0	NaN
2009	6	15	0	16	0	NaN
2009	6	15	0	17	0	NaN
2009	6	15	0	18	0	NaN
2009	6	15	0	19	0	NaN
2009	6	15	0	20	0	NaN
2009	6	15	0	21	0	NaN
2009	6	15	0	22	0	NaN
2009	6	15	0	23	0	NaN
2009	6	15	0	24	0	NaN
2009	6	15	0	25	0	NaN
2009	6	15	0	26	0	NaN
2009	6	15	0	27	0	NaN
2009	6	15	0	28	0	NaN
2009	6	15	0	29	0	NaN
2009	6	15	0	30	0	NaN
2009	6	15	0	31	0	NaN
2009	6	15	0	32	0	NaN
2009	6	15	0	33	0	NaN
2009	6	15	0	34	0	NaN
2009	6	15	0	35	0	NaN
2009	6	15	0	36	0	NaN
2009	6	15	0	37	0	NaN
2009	6	15	0	38	0	NaN
2009	6	15	0	39	0	NaN
2009	6	15	0	40	0	NaN
2009	6	15	0	41	0	NaN
2009	6	15	0	42	0	NaN
2009	6	15	0	43	0	NaN
2009	6	15	0	44	0	NaN
2009	6	15	0	45	0	NaN
2009	6	15	0	46	0	NaN
2009	6	15	0	47	0	NaN
2009	6	15	0	48	0	NaN
2009	6	15	0	49	0	NaN
2009	6	15	0	50	0	NaN
2009	6	15	0	51	0	NaN
2009	6	15	0	52	0	NaN
2009	6	15	0	53	0	NaN
2009	6	15	0	54	0	NaN
2009	6	15	0	55	0	NaN
2009	6	15	0	56	0	NaN
2009	6	15	0	57	0	NaN
2009	6	15	0	58	0	NaN
2009	6	15	0	59	0	NaN
2009	6	15	1	0	0	NaN
2009	6	15	1	1	0	NaN
2009	6	15	1	2	0	NaN
2009	6	15	1	3	0	NaN
2009	6	15	1	4	0	NaN
2009	6	15	1	5	0	NaN
2009	6	15	1	6	0	NaN
2009	6	15	1	7	0	NaN
2009	6	15	1	8	0	NaN
2009	6	15	1	9	0	NaN
2009	6	15	1	10	0	NaN
2009	6	15	1	11	0	NaN
2009	6	15	1	12	0	NaN
2009	6	15	1	13	0	NaN
2009	6	15	1	14	0	NaN
2009	6	15	1	15	0	NaN
2009	6	15	1	16	0	NaN
2009	6	15	1	17	0	NaN
2009	6	15	1	18	0	NaN
2009	6	15	1	19	0	NaN
2009	6	15	1	20	0	NaN
2009	6	15	1	21	0	NaN
